name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence,method_used,approach2_prediction,approach2_confidence,approach4_prediction,approach4_confidence
plastic soffa,BC382372922,plastic soffa,11,Furniture,Technology,0.6826536845419373,semantic_conf,Technology,0.7585040939354859,Uncategorized,0.0
mesh skrivbord,BC875936087,mesh skrivbord,8,Furniture,Services,0.6931632839951624,semantic_conf,Services,0.7701814266612915,Uncategorized,0.0
canapé,BC142683817,canape,19,Furniture,Technology,0.6872660412582813,semantic_conf,Technology,0.7636289347314237,Uncategorized,0.0
bildschirm,BC147143794,bildschirm,12,Technology,Services,0.6747434746477571,semantic_conf,Services,0.7497149718308411,Uncategorized,0.0
Aeron chair,BC512410679,aeron chair,14,Furniture,Technology,0.7046671029912199,semantic_conf,Technology,0.7829634477680222,Uncategorized,0.0
ERP system,BC492203150,erp system,4,Services,Furniture,0.6897893974454026,semantic_conf,Furniture,0.7664326638282251,Uncategorized,0.0
PRI line business,BC391286241,pri line business,4,Services,Furniture,0.6764188537270646,semantic_conf,Furniture,0.7515765041411828,Uncategorized,0.0
fax machine gaming,BC985116006,fax machine gaming,9,Technology,Services,0.6613891668865348,semantic_conf,Services,0.7348768520961498,Uncategorized,0.0
bureau,BC438395096,bureau,19,Furniture,Technology,0.6866366340908466,semantic_conf,Technology,0.762929593434274,Uncategorized,0.0
bureau,BC508423654,bureau,19,Furniture,Technology,0.6866366340908466,semantic_conf,Technology,0.762929593434274,Uncategorized,0.0
SSH client,BC267494290,ssh client,17,Services,Furniture,0.6768297504637207,semantic_conf,Furniture,0.7520330560708008,Uncategorized,0.0
white counch,BC513746107,white counch,19,Furniture,Technology,0.6779389276298938,semantic_conf,Technology,0.7532654751443265,Uncategorized,0.0
NOC service,BC255270986,noc service,7,Services,Furniture,0.6979628890427854,semantic_conf,Furniture,0.7755143211586504,Uncategorized,0.0
metal Steelcase storage Model A-378,BC300388921,metal steelcase storage model a-378,1,Furniture,Technology,0.697032876792899,semantic_conf,Technology,0.7744809742143323,Uncategorized,0.0
biurko - Refurbished,BC921584159,biurko - refurbished,8,Furniture,Services,0.7018175923142542,semantic_conf,Services,0.7797973247936157,Uncategorized,0.0
ink jet gaming,BC422544802,ink jet gaming,8,Technology,Services,0.6904124104294885,semantic_conf,Services,0.7671249004772095,Uncategorized,0.0
B&W printer wireless Gen 2,BC294995530,bw printer wireless gen 2,18,Technology,Services,0.6765171995099785,semantic_conf,Services,0.7516857772333094,Uncategorized,0.0
glass divan,BC158569033,glass divan,11,Furniture,Technology,0.6804192434999909,semantic_conf,Technology,0.7560213816666566,Uncategorized,0.0
Knoll office sofa,BC719080517,knoll office sofa,5,Furniture,Technology,0.6880361455568482,semantic_conf,Technology,0.7644846061742758,Uncategorized,0.0
cell phone plan business,BC742827694,cell phone plan business,4,Services,Furniture,0.6862832674653153,semantic_conf,Furniture,0.7625369638503503,Uncategorized,0.0
خدمة الإنترنت,BC840580333,خدمة الانترنت,7,Services,Furniture,0.6888282507333066,semantic_conf,Furniture,0.7653647230370073,Uncategorized,0.0
ink jet,BC305746804,ink jet,18,Technology,Services,0.6724283327993157,semantic_conf,Services,0.7471425919992396,Uncategorized,0.0
business internet monthly,BC226222619,business internet monthly,6,Services,Furniture,0.6809066930136582,semantic_conf,Furniture,0.756562992237398,Uncategorized,0.0
4k monitor Plus,BC191597206,4k monitor plus,12,Technology,Services,0.6939717482778992,semantic_conf,Services,0.7710797203087769,Uncategorized,0.0
printer Plus,BC447549695,printer plus,18,Technology,Services,0.6935627450879814,semantic_conf,Services,0.7706252723199793,Uncategorized,0.0
medium loveseat,BC924790131,medium loveseat,5,Furniture,Technology,0.6727086084970644,semantic_conf,Technology,0.7474540094411826,Uncategorized,0.0
fabric conference chair,BC186138889,fabric conference chair,14,Furniture,Technology,0.6917729732381072,semantic_conf,Technology,0.7686366369312302,Uncategorized,0.0
divan,BC247382533,divan,11,Furniture,Technology,0.7002366375181641,semantic_conf,Technology,0.7780407083535157,Uncategorized,0.0
Adobe Creative Suite basic subscription,BC353366389,adobe creative suite basic subscription,6,Services,Furniture,0.6889492431006333,semantic_conf,Furniture,0.7654991590007036,Uncategorized,0.0
Allsteel Workstation WS-Pro,BC303770248,allsteel workstation ws-pro,8,Furniture,Services,0.6990126454148401,semantic_conf,Services,0.7766807171276001,Uncategorized,0.0
Herman Miller large HON table,BC191352864,herman miller large hon table,14,Furniture,Technology,0.6761958298073973,semantic_conf,Technology,0.751328699785997,Uncategorized,0.0
Brother MFC certified,BC523216102,brother mfc certified,9,Technology,Services,0.6446751423427727,semantic_conf,Services,0.7163057137141918,Uncategorized,0.0
Office Software per device package,BC248294102,office software per device package,17,Services,Furniture,0.6823612701151337,semantic_conf,Furniture,0.7581791890168152,Uncategorized,0.0
Adobe Creative Suite,BC475505122,adobe creative suite,6,Services,Furniture,0.6852977910361191,semantic_conf,Furniture,0.7614419900401324,Uncategorized,0.0
HP OfficeJet backlit Plus,BC446389157,hp officejet backlit plus,8,Technology,Services,0.6851662241730798,semantic_conf,Services,0.7612958046367554,Uncategorized,0.0
NOC service premium,BC459048149,noc service premium,7,Services,Furniture,0.6860170274647976,semantic_conf,Furniture,0.762241141627553,Uncategorized,0.0
MSP service limited,BC586155117,msp service limited,7,Services,Furniture,0.6835582464608456,semantic_conf,Furniture,0.7595091627342729,Uncategorized,0.0
standing desk,BC301864129,standing desk,3,Furniture,Technology,0.6994457518678056,semantic_conf,Technology,0.777161946519784,Uncategorized,0.0
skrivbord,BC400855850,skrivbord,10,Furniture,Technology,0.6619209847355321,semantic_conf,Technology,0.7354677608172578,Uncategorized,0.0
キャビネット Model Pro-175,BC854677179,キャヒネット model pro-175,1,Furniture,Technology,0.6879585881862553,semantic_conf,Technology,0.7643984313180615,Uncategorized,0.0
surface pro backlit v3,BC389046078,surface pro backlit v3,8,Technology,Services,0.6919570946011652,semantic_conf,Services,0.7688412162235169,Uncategorized,0.0
Box subscription,BC405669440,box subscription,6,Services,Furniture,0.6780103900751969,semantic_conf,Furniture,0.7533448778613299,Uncategorized,0.0
TAASK CHAIR,BC267618731,taask chair,14,Furniture,Technology,0.6969561275826659,semantic_conf,Technology,0.7743956973140732,Uncategorized,0.0
curved monitor,BC607692567,curved monitor,12,Technology,Services,0.6796603392813172,semantic_conf,Services,0.7551781547570191,Uncategorized,0.0
chaise,BC200889109,chaise,19,Furniture,Technology,0.7011856331619678,semantic_conf,Technology,0.779095147957742,Uncategorized,0.0
HON compact escritorio,BC338462628,hon compact escritorio,14,Furniture,Technology,0.685745942293283,semantic_conf,Technology,0.7619399358814255,Uncategorized,0.0
소프트웨어 professional package,BC113107987,소프트웨어 professional package,6,Services,Furniture,0.662447462352266,semantic_conf,Furniture,0.7360527359469622,Uncategorized,0.0
support contract professional,BC155094221,support contract professional,13,Services,Furniture,0.6912708206208148,semantic_conf,Furniture,0.7680786895786831,Uncategorized,0.0
Kimball Lounge Seating LS-200,BC867658814,kimball lounge seating ls-200,5,Furniture,Technology,0.668848909724634,semantic_conf,Technology,0.7431654552495932,Uncategorized,0.0
wardrobe Model B-795,BC214949614,wardrobe model b-795,1,Furniture,Technology,0.7044082542095098,semantic_conf,Technology,0.7826758380105664,Uncategorized,0.0
шкаф,BC862022549,шкаф,16,Furniture,Technology,0.6944585555167141,semantic_conf,Technology,0.7716206172407934,Uncategorized,0.0
soporte técnico,BC838066391,soporte tecnico,13,Services,Furniture,0.6991525990994373,semantic_conf,Furniture,0.7768362212215969,Uncategorized,0.0
data plan,BC363841612,data plan,7,Services,Furniture,0.695224890080383,semantic_conf,Furniture,0.7724721000893144,Uncategorized,0.0
Ricoh Aficio energy efficient,BC425717549,ricoh aficio energy efficient,8,Technology,Services,0.6857548617634882,semantic_conf,Services,0.7619498464038758,Uncategorized,0.0
Steelcase small шкаф,BC797468922,steelcase small шкаф,16,Furniture,Technology,0.6914680533976498,semantic_conf,Technology,0.7682978371084997,Uncategorized,0.0
glass locker - Refurbished,BC815120513,glass locker - refurbished,8,Furniture,Services,0.6930999302182306,semantic_conf,Services,0.7701110335758118,Uncategorized,0.0
SOC service,BC580499237,soc service,7,Services,Furniture,0.698951229420593,semantic_conf,Furniture,0.7766124771339922,Uncategorized,0.0
backup software volume license,BC144219109,backup software volume license,15,Services,Furniture,0.6898474190708209,semantic_conf,Furniture,0.7664971323009121,Uncategorized,0.0
setee,BC689269569,setee,19,Furniture,Technology,0.6841751708778797,semantic_conf,Technology,0.7601946343087552,Uncategorized,0.0
Teknion HON table,BC416130770,teknion hon table,10,Furniture,Technology,0.6859767517948583,semantic_conf,Technology,0.7621963908831758,Uncategorized,0.0
brown wardrobe Model A-959,BC265268660,brown wardrobe model a-959,1,Furniture,Technology,0.6972500284347447,semantic_conf,Technology,0.774722253816383,Uncategorized,0.0
abonnement internet,BC887334437,abonnement internet,17,Services,Furniture,0.6820943903181519,semantic_conf,Furniture,0.7578826559090577,Uncategorized,0.0
HP EliteDesk gaming,BC880725278,hp elitedesk gaming,8,Technology,Services,0.6977719091687311,semantic_conf,Services,0.7753021212985901,Uncategorized,0.0
Steelcase Executive Seat EX-400,BC203354415,steelcase executive seat ex-400,1,Furniture,Technology,0.7001618345413121,semantic_conf,Technology,0.7779575939347912,Uncategorized,0.0
HON mesh wardrobe,BC115810687,hon mesh wardrobe,2,Furniture,Services,0.6718384247070139,semantic_conf,Services,0.7464871385633488,Uncategorized,0.0
curved monitor backlit,BC937332060,curved monitor backlit,12,Technology,Services,0.679940361902472,semantic_conf,Services,0.7554892910027466,Uncategorized,0.0
HON filing cabinet,BC540024260,hon filing cabinet,16,Furniture,Technology,0.6957719796271267,semantic_conf,Technology,0.7730799773634741,Uncategorized,0.0
компьютер 2024,BC928096889,компьютер 2024,9,Technology,Services,0.6586310513565208,semantic_conf,Services,0.7318122792850231,Uncategorized,0.0
SOFÁ,BC921879587,sofa,11,Furniture,Technology,0.7113607238981691,semantic_conf,Technology,0.7904008043312989,Uncategorized,0.0
help desk standard agreement,BC804105516,help desk standard agreement,15,Services,Furniture,0.6802016590114642,semantic_conf,Furniture,0.7557796211238491,Uncategorized,0.0
krzesło,BC618645569,krzesło,19,Furniture,Technology,0.6878363325390278,semantic_conf,Technology,0.7642625917100309,Uncategorized,0.0
ERP system,BC215310912,erp system,4,Services,Furniture,0.6897893974454026,semantic_conf,Furniture,0.7664326638282251,Uncategorized,0.0
biurko,BC271690961,biurko,3,Furniture,Technology,0.6790479278188096,semantic_conf,Technology,0.7544976975764551,Uncategorized,0.0
armario,BC708857885,armario,2,Furniture,Services,0.6923557679897135,semantic_conf,Services,0.7692841866552372,Uncategorized,0.0
キャビネット,BC448443704,キャヒネット,0,Furniture,Services,0.6655255799917208,semantic_conf,Services,0.7394728666574675,Uncategorized,0.0
stol,BC275864280,stol,19,Furniture,Technology,0.70015223167271,semantic_conf,Technology,0.7779469240807889,Uncategorized,0.0
standing desk,BC915571513,standing desk,3,Furniture,Technology,0.6994457518678056,semantic_conf,Technology,0.777161946519784,Uncategorized,0.0
Office 365 Business annual,BC467126134,office 365 business annual,6,Services,Furniture,0.6961760797819992,semantic_conf,Furniture,0.7735289775355547,Uncategorized,0.0
writing desk,BC692134048,writing desk,3,Furniture,Technology,0.7051002776246416,semantic_conf,Technology,0.7834447529162684,Uncategorized,0.0
IKEA professional Herman Miller desk,BC551232519,ikea professional herman miller desk,14,Furniture,Technology,0.6817063209401335,semantic_conf,Technology,0.7574514677112595,Uncategorized,0.0
RECEPTION SOFA,BC665646221,reception sofa,5,Furniture,Technology,0.7014164525160005,semantic_conf,Technology,0.7793516139066672,Uncategorized,0.0
cadeira,BC553376084,cadeira,19,Furniture,Technology,0.7013184561523853,semantic_conf,Technology,0.7792427290582059,Uncategorized,0.0
VoIP service,BC616386600,voip service,7,Services,Furniture,0.7007066815766598,semantic_conf,Furniture,0.7785629795296221,Uncategorized,0.0
4k monitor,BC668031793,4k monitor,12,Technology,Services,0.7010984312746491,semantic_conf,Services,0.7789982569718323,Uncategorized,0.0
SLA agreement unlimited,BC745551372,sla agreement unlimited,15,Services,Furniture,0.6759145770546008,semantic_conf,Furniture,0.7510161967273342,Uncategorized,0.0
Adoby Creative limited bundle,BC303850254,adoby creative limited bundle,6,Services,Furniture,0.6721958973727128,semantic_conf,Furniture,0.7468843304141253,Uncategorized,0.0
Kimball office chair,BC148186901,kimball office chair,14,Furniture,Technology,0.6943786320077148,semantic_conf,Technology,0.7715318133419052,Uncategorized,0.0
ITSM service,BC303431575,itsm service,7,Services,Furniture,0.7053692727956082,semantic_conf,Furniture,0.7837436364395647,Uncategorized,0.0
managed services,BC664596387,managed services,7,Services,Furniture,0.7014440744790341,semantic_conf,Furniture,0.7793823049767046,Uncategorized,0.0
archivador,BC842725930,archivador,2,Furniture,Services,0.6708980422263926,semantic_conf,Services,0.7454422691404362,Uncategorized,0.0
Aeron chair,BC995990847,aeron chair,14,Furniture,Technology,0.7046671029912199,semantic_conf,Technology,0.7829634477680222,Uncategorized,0.0
HP ProBook,BC221517071,hp probook,8,Technology,Services,0.7021241151604761,semantic_conf,Services,0.7801379057338623,Uncategorized,0.0
standard デスク,BC800346424,standard テスク,21,Furniture,Services,0.6681610649255739,semantic_conf,Services,0.7424011832506376,Uncategorized,0.0
armoire,BC376681108,armoire,2,Furniture,Services,0.6949510197883433,semantic_conf,Services,0.7721677997648259,Uncategorized,0.0
AIO printer,BC120485196,aio printer,18,Technology,Services,0.6842378308709862,semantic_conf,Services,0.760264256523318,Uncategorized,0.0
wooden IKEA desk,BC239989275,wooden ikea desk,3,Furniture,Technology,0.6880304312329637,semantic_conf,Technology,0.7644782569255152,Uncategorized,0.0
schrank,BC460957835,schrank,16,Furniture,Technology,0.6899137669176998,semantic_conf,Technology,0.7665708521307776,Uncategorized,0.0
unlimited plan,BC192142552,unlimited plan,7,Services,Furniture,0.6976014882001187,semantic_conf,Furniture,0.7751127646667986,Uncategorized,0.0
office chair,BC275309282,office chair,19,Furniture,Technology,0.7070557012352405,semantic_conf,Technology,0.7856174458169339,Uncategorized,0.0
sofá Model Pro-621,BC951374399,sofa model pro-621,1,Furniture,Technology,0.7032463749084386,semantic_conf,Technology,0.7813848610093762,Uncategorized,0.0
Global шкаф,BC299215925,global шкаф,16,Furniture,Technology,0.6906361394495907,semantic_conf,Technology,0.767373488277323,Uncategorized,0.0
Herman Miller desk,BC264494545,herman miller desk,14,Furniture,Technology,0.6904918965684141,semantic_conf,Technology,0.7672132184093491,Uncategorized,0.0
API subscription enterprise,BC740337419,api subscription enterprise,6,Services,Furniture,0.6841989436468979,semantic_conf,Furniture,0.7602210484965533,Uncategorized,0.0
support contract professional,BC657793068,support contract professional,13,Services,Furniture,0.6912708206208148,semantic_conf,Furniture,0.7680786895786831,Uncategorized,0.0
note book certified,BC934052476,note book certified,9,Technology,Services,0.6560028620311882,semantic_conf,Services,0.7288920689235424,Uncategorized,0.0
デスク,BC889382867,テスク,21,Furniture,Services,0.6553602224019991,semantic_conf,Services,0.72817802489111,Uncategorized,0.0
counch,BC918226618,counch,19,Furniture,Technology,0.6841117634567676,semantic_conf,Technology,0.7601241816186307,Uncategorized,0.0
small soffa,BC901127771,small soffa,11,Furniture,Technology,0.682083768770453,semantic_conf,Technology,0.7578708541893922,Uncategorized,0.0
WOODEN WORKSTATON,BC897218787,wooden workstaton,10,Furniture,Technology,0.6743336043262913,semantic_conf,Technology,0.7492595603625459,Uncategorized,0.0
divan,BC913610452,divan,11,Furniture,Technology,0.7002366375181641,semantic_conf,Technology,0.7780407083535157,Uncategorized,0.0
business internet unlimited,BC980612131,business internet unlimited,4,Services,Furniture,0.6825557479531388,semantic_conf,Furniture,0.7583952755034875,Uncategorized,0.0
char,BC894119729,char,20,Furniture,Services,0.6659946630545767,semantic_conf,Services,0.7399940700606408,Uncategorized,0.0
стул,BC699169292,стул,19,Furniture,Technology,0.6920739545616565,semantic_conf,Technology,0.7689710606240628,Uncategorized,0.0
SECURITY SUPPORT,BC641949014,security support,13,Services,Furniture,0.709772537473003,semantic_conf,Furniture,0.788636152747781,Uncategorized,0.0
armoire,BC980598636,armoire,2,Furniture,Services,0.6949510197883433,semantic_conf,Services,0.7721677997648259,Uncategorized,0.0
Salesforce Enterprise,BC100772905,salesforce enterprise,4,Services,Furniture,0.6885534355313401,semantic_conf,Furniture,0.7650593728126001,Uncategorized,0.0
database support,BC282879331,database support,13,Services,Furniture,0.7093235356839099,semantic_conf,Furniture,0.788137261871011,Uncategorized,0.0
tech device,BC583249931,tech device,21,Technology,Services,0.6669386749891267,semantic_conf,Services,0.7410429722101408,Uncategorized,0.0
Windows license site license,BC194511472,windows license site license,15,Services,Furniture,0.6820536706920672,semantic_conf,Furniture,0.7578374118800747,Uncategorized,0.0
IKEA desk - Refurbished,BC812458132,ikea desk - refurbished,8,Furniture,Services,0.697670307091247,semantic_conf,Services,0.7751892301013855,Uncategorized,0.0
sectional,BC276087243,sectional,19,Furniture,Technology,0.6775091304573475,semantic_conf,Technology,0.7527879227303861,Uncategorized,0.0
loveseat,BC860674986,loveseat,19,Furniture,Technology,0.6953157796654164,semantic_conf,Technology,0.7725730885171292,Uncategorized,0.0
1TB SSD Laptop,BC594817420,1tb ssd laptop,8,Technology,Services,0.6943972610745539,semantic_conf,Services,0.7715525123050598,Uncategorized,0.0
server maintenance,BC838586956,server maintenance,4,Services,Furniture,0.6859947154194932,semantic_conf,Furniture,0.7622163504661035,Uncategorized,0.0
4k monitor,BC234259822,4k monitor,12,Technology,Services,0.7010984312746491,semantic_conf,Services,0.7789982569718323,Uncategorized,0.0
монитор,BC881938614,монитор,12,Technology,Services,0.6808528494093384,semantic_conf,Services,0.756503166010376,Uncategorized,0.0
ソフトウェア enterprise,BC478305093,ソフトウェア enterprise,0,Services,Services,0.669529688897513,semantic_conf,Services,0.7439218765527922,Uncategorized,0.0
Oracle per user,BC897711678,oracle per user,17,Services,Furniture,0.6866221737120118,semantic_conf,Furniture,0.7629135263466797,Uncategorized,0.0
HP ZBook v2,BC498784578,hp zbook v2,8,Technology,Services,0.6932473980698695,semantic_conf,Services,0.7702748867442993,Uncategorized,0.0
Used Office 365 Business annual,BC467126134,used office 365 business annual,6,Services,Furniture,0.6911056318602463,semantic_conf,Furniture,0.7678951465113848,Uncategorized,0.0
abonnement internet,BC301637382,abonnement internet,17,Services,Furniture,0.6820943903181519,semantic_conf,Furniture,0.7578826559090577,Uncategorized,0.0
32-inch Screen gaming,BC176100340,32-inch screen gaming,8,Technology,Services,0.6800859593663324,semantic_conf,Services,0.7556510659625916,Uncategorized,0.0
Kimball escritorio,BC204281005,kimball escritorio,14,Furniture,Technology,0.6874457117902006,semantic_conf,Technology,0.7638285686557785,Uncategorized,0.0
