name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence
Allsteel archivador,BC699299989,allsteel archivador,2,Furniture,Uncategorized,0.0
QHD Display certified,BC946711815,qhd display certified,9,Technology,Uncategorized,0.0
schrank,BC279701810,schrank,16,Furniture,Uncategorized,0.0
fiber internet,BC899484915,fiber internet,7,Services,Uncategorized,0.0
HON table,BC450932787,hon table,10,Furniture,Uncategorized,0.0
work desk,BC364982130,work desk,3,Furniture,Uncategorized,0.0
WiFi printer,BC575625690,wifi printer,18,Technology,Uncategorized,0.0
стол,BC227117388,стол,19,Furniture,Uncategorized,0.0
HP OfficeJet,BC718494872,hp officejet,18,Technology,Uncategorized,0.0
소파 Model B-588,BC165176331,소파 model b-588,1,Furniture,Uncategorized,0.0
Executive Table EX-200,BC107057729,executive table ex-200,10,Furniture,Uncategorized,0.0
chiar,BC888448988,chiar,21,Furniture,Uncategorized,0.0
cabnit Model A-402,BC516032315,cabnit model a-402,1,Furniture,Uncategorized,0.0
sofa,BC959106271,sofa,11,Furniture,Uncategorized,0.0
ultrawide monitor,BC899283454,ultrawide monitor,12,Technology,Uncategorized,0.0
Herman Miller Chair Model C-300,BC348215410,herman miller chair model c-300,14,Furniture,Uncategorized,0.0
divan,BC134077472,divan,11,Furniture,Uncategorized,0.0
technical support,BC122927426,technical support,13,Services,Uncategorized,0.0
iCloud storage,BC683247918,icloud storage,7,Services,Uncategorized,0.0
szafa,BC140127441,szafa,16,Furniture,Uncategorized,0.0
Used szafa,BC594318319,used szafa,16,Furniture,Uncategorized,0.0
Reception Sofa RS-100 Model A-541,BC232654592,reception sofa rs-100 model a-541,5,Furniture,Uncategorized,0.0
chrome book - Refurbished,BC481584364,chrome book - refurbished,8,Technology,Uncategorized,0.0
HON table,BC898302819,hon table,10,Furniture,Uncategorized,0.0
phone support monthly,BC269702658,phone support monthly,13,Services,Uncategorized,0.0
security software volume license,BC406998453,security software volume license,15,Services,Uncategorized,0.0
Teknion divan,BC137219006,teknion divan,21,Furniture,Uncategorized,0.0
monitr professional,BC768986243,monitr professional,21,Technology,Uncategorized,0.0
software support,BC674420474,software support,13,Services,Uncategorized,0.0
compact bench,BC142400500,compact bench,16,Furniture,Uncategorized,0.0
SAP,BC963589906,sap,20,Services,Uncategorized,0.0
Kimball 캐비넷,BC635413025,kimball 캐비넷,2,Furniture,Uncategorized,0.0
NOC service subscription,BC252728624,noc service subscription,7,Services,Uncategorized,0.0
Teknion chiar,BC384528891,teknion chiar,21,Furniture,Uncategorized,0.0
VPN client,BC823310328,vpn client,17,Services,Uncategorized,0.0
Kimball storage unit,BC124425601,kimball storage unit,16,Furniture,Uncategorized,0.0
plastic soffa,BC382372922,plastic soffa,11,Furniture,Uncategorized,0.0
mesh skrivbord,BC875936087,mesh skrivbord,8,Furniture,Uncategorized,0.0
canapé,BC142683817,canape,19,Furniture,Uncategorized,0.0
bildschirm,BC147143794,bildschirm,12,Technology,Uncategorized,0.0
Aeron chair,BC512410679,aeron chair,14,Furniture,Uncategorized,0.0
ERP system,BC492203150,erp system,4,Services,Uncategorized,0.0
PRI line business,BC391286241,pri line business,4,Services,Uncategorized,0.0
fax machine gaming,BC985116006,fax machine gaming,9,Technology,Uncategorized,0.0
bureau,BC438395096,bureau,19,Furniture,Uncategorized,0.0
bureau,BC508423654,bureau,19,Furniture,Uncategorized,0.0
SSH client,BC267494290,ssh client,17,Services,Uncategorized,0.0
white counch,BC513746107,white counch,19,Furniture,Uncategorized,0.0
NOC service,BC255270986,noc service,7,Services,Uncategorized,0.0
metal Steelcase storage Model A-378,BC300388921,metal steelcase storage model a-378,1,Furniture,Uncategorized,0.0
biurko - Refurbished,BC921584159,biurko - refurbished,8,Furniture,Uncategorized,0.0
ink jet gaming,BC422544802,ink jet gaming,8,Technology,Uncategorized,0.0
B&W printer wireless Gen 2,BC294995530,bw printer wireless gen 2,18,Technology,Uncategorized,0.0
glass divan,BC158569033,glass divan,11,Furniture,Uncategorized,0.0
Knoll office sofa,BC719080517,knoll office sofa,5,Furniture,Uncategorized,0.0
cell phone plan business,BC742827694,cell phone plan business,4,Services,Uncategorized,0.0
خدمة الإنترنت,BC840580333,خدمة الانترنت,7,Services,Uncategorized,0.0
ink jet,BC305746804,ink jet,18,Technology,Uncategorized,0.0
business internet monthly,BC226222619,business internet monthly,6,Services,Uncategorized,0.0
4k monitor Plus,BC191597206,4k monitor plus,12,Technology,Uncategorized,0.0
printer Plus,BC447549695,printer plus,18,Technology,Uncategorized,0.0
medium loveseat,BC924790131,medium loveseat,5,Furniture,Uncategorized,0.0
fabric conference chair,BC186138889,fabric conference chair,14,Furniture,Uncategorized,0.0
divan,BC247382533,divan,11,Furniture,Uncategorized,0.0
Adobe Creative Suite basic subscription,BC353366389,adobe creative suite basic subscription,6,Services,Uncategorized,0.0
Allsteel Workstation WS-Pro,BC303770248,allsteel workstation ws-pro,8,Furniture,Uncategorized,0.0
Herman Miller large HON table,BC191352864,herman miller large hon table,14,Furniture,Uncategorized,0.0
Brother MFC certified,BC523216102,brother mfc certified,9,Technology,Uncategorized,0.0
Office Software per device package,BC248294102,office software per device package,17,Services,Uncategorized,0.0
Adobe Creative Suite,BC475505122,adobe creative suite,6,Services,Uncategorized,0.0
HP OfficeJet backlit Plus,BC446389157,hp officejet backlit plus,8,Technology,Uncategorized,0.0
NOC service premium,BC459048149,noc service premium,7,Services,Uncategorized,0.0
MSP service limited,BC586155117,msp service limited,7,Services,Uncategorized,0.0
standing desk,BC301864129,standing desk,3,Furniture,Uncategorized,0.0
skrivbord,BC400855850,skrivbord,10,Furniture,Uncategorized,0.0
キャビネット Model Pro-175,BC854677179,キャヒネット model pro-175,1,Furniture,Uncategorized,0.0
surface pro backlit v3,BC389046078,surface pro backlit v3,8,Technology,Uncategorized,0.0
Box subscription,BC405669440,box subscription,6,Services,Uncategorized,0.0
TAASK CHAIR,BC267618731,taask chair,14,Furniture,Uncategorized,0.0
curved monitor,BC607692567,curved monitor,12,Technology,Uncategorized,0.0
chaise,BC200889109,chaise,19,Furniture,Uncategorized,0.0
HON compact escritorio,BC338462628,hon compact escritorio,14,Furniture,Uncategorized,0.0
소프트웨어 professional package,BC113107987,소프트웨어 professional package,6,Services,Uncategorized,0.0
support contract professional,BC155094221,support contract professional,13,Services,Uncategorized,0.0
Kimball Lounge Seating LS-200,BC867658814,kimball lounge seating ls-200,5,Furniture,Uncategorized,0.0
wardrobe Model B-795,BC214949614,wardrobe model b-795,1,Furniture,Uncategorized,0.0
шкаф,BC862022549,шкаф,16,Furniture,Uncategorized,0.0
soporte técnico,BC838066391,soporte tecnico,13,Services,Uncategorized,0.0
data plan,BC363841612,data plan,7,Services,Uncategorized,0.0
Ricoh Aficio energy efficient,BC425717549,ricoh aficio energy efficient,8,Technology,Uncategorized,0.0
Steelcase small шкаф,BC797468922,steelcase small шкаф,16,Furniture,Uncategorized,0.0
glass locker - Refurbished,BC815120513,glass locker - refurbished,8,Furniture,Uncategorized,0.0
SOC service,BC580499237,soc service,7,Services,Uncategorized,0.0
backup software volume license,BC144219109,backup software volume license,15,Services,Uncategorized,0.0
setee,BC689269569,setee,19,Furniture,Uncategorized,0.0
Teknion HON table,BC416130770,teknion hon table,10,Furniture,Uncategorized,0.0
brown wardrobe Model A-959,BC265268660,brown wardrobe model a-959,1,Furniture,Uncategorized,0.0
abonnement internet,BC887334437,abonnement internet,17,Services,Uncategorized,0.0
HP EliteDesk gaming,BC880725278,hp elitedesk gaming,8,Technology,Uncategorized,0.0
Steelcase Executive Seat EX-400,BC203354415,steelcase executive seat ex-400,1,Furniture,Uncategorized,0.0
HON mesh wardrobe,BC115810687,hon mesh wardrobe,2,Furniture,Uncategorized,0.0
curved monitor backlit,BC937332060,curved monitor backlit,12,Technology,Uncategorized,0.0
HON filing cabinet,BC540024260,hon filing cabinet,16,Furniture,Uncategorized,0.0
компьютер 2024,BC928096889,компьютер 2024,9,Technology,Uncategorized,0.0
SOFÁ,BC921879587,sofa,11,Furniture,Uncategorized,0.0
help desk standard agreement,BC804105516,help desk standard agreement,15,Services,Uncategorized,0.0
krzesło,BC618645569,krzesło,19,Furniture,Uncategorized,0.0
ERP system,BC215310912,erp system,4,Services,Uncategorized,0.0
biurko,BC271690961,biurko,3,Furniture,Uncategorized,0.0
armario,BC708857885,armario,2,Furniture,Uncategorized,0.0
キャビネット,BC448443704,キャヒネット,0,Furniture,Uncategorized,0.0
stol,BC275864280,stol,19,Furniture,Uncategorized,0.0
standing desk,BC915571513,standing desk,3,Furniture,Uncategorized,0.0
Office 365 Business annual,BC467126134,office 365 business annual,6,Services,Uncategorized,0.0
writing desk,BC692134048,writing desk,3,Furniture,Uncategorized,0.0
IKEA professional Herman Miller desk,BC551232519,ikea professional herman miller desk,14,Furniture,Uncategorized,0.0
RECEPTION SOFA,BC665646221,reception sofa,5,Furniture,Uncategorized,0.0
cadeira,BC553376084,cadeira,19,Furniture,Uncategorized,0.0
VoIP service,BC616386600,voip service,7,Services,Uncategorized,0.0
4k monitor,BC668031793,4k monitor,12,Technology,Uncategorized,0.0
SLA agreement unlimited,BC745551372,sla agreement unlimited,15,Services,Uncategorized,0.0
Adoby Creative limited bundle,BC303850254,adoby creative limited bundle,6,Services,Uncategorized,0.0
Kimball office chair,BC148186901,kimball office chair,14,Furniture,Uncategorized,0.0
ITSM service,BC303431575,itsm service,7,Services,Uncategorized,0.0
managed services,BC664596387,managed services,7,Services,Uncategorized,0.0
archivador,BC842725930,archivador,2,Furniture,Uncategorized,0.0
Aeron chair,BC995990847,aeron chair,14,Furniture,Uncategorized,0.0
HP ProBook,BC221517071,hp probook,8,Technology,Uncategorized,0.0
standard デスク,BC800346424,standard テスク,21,Furniture,Uncategorized,0.0
armoire,BC376681108,armoire,2,Furniture,Uncategorized,0.0
AIO printer,BC120485196,aio printer,18,Technology,Uncategorized,0.0
wooden IKEA desk,BC239989275,wooden ikea desk,3,Furniture,Uncategorized,0.0
schrank,BC460957835,schrank,16,Furniture,Uncategorized,0.0
unlimited plan,BC192142552,unlimited plan,7,Services,Uncategorized,0.0
office chair,BC275309282,office chair,19,Furniture,Uncategorized,0.0
sofá Model Pro-621,BC951374399,sofa model pro-621,1,Furniture,Uncategorized,0.0
Global шкаф,BC299215925,global шкаф,16,Furniture,Uncategorized,0.0
Herman Miller desk,BC264494545,herman miller desk,14,Furniture,Uncategorized,0.0
API subscription enterprise,BC740337419,api subscription enterprise,6,Services,Uncategorized,0.0
support contract professional,BC657793068,support contract professional,13,Services,Uncategorized,0.0
note book certified,BC934052476,note book certified,9,Technology,Uncategorized,0.0
デスク,BC889382867,テスク,21,Furniture,Uncategorized,0.0
counch,BC918226618,counch,19,Furniture,Uncategorized,0.0
small soffa,BC901127771,small soffa,11,Furniture,Uncategorized,0.0
WOODEN WORKSTATON,BC897218787,wooden workstaton,10,Furniture,Uncategorized,0.0
divan,BC913610452,divan,11,Furniture,Uncategorized,0.0
business internet unlimited,BC980612131,business internet unlimited,4,Services,Uncategorized,0.0
char,BC894119729,char,20,Furniture,Uncategorized,0.0
стул,BC699169292,стул,19,Furniture,Uncategorized,0.0
SECURITY SUPPORT,BC641949014,security support,13,Services,Uncategorized,0.0
armoire,BC980598636,armoire,2,Furniture,Uncategorized,0.0
Salesforce Enterprise,BC100772905,salesforce enterprise,4,Services,Uncategorized,0.0
database support,BC282879331,database support,13,Services,Uncategorized,0.0
tech device,BC583249931,tech device,21,Technology,Uncategorized,0.0
Windows license site license,BC194511472,windows license site license,15,Services,Uncategorized,0.0
IKEA desk - Refurbished,BC812458132,ikea desk - refurbished,8,Furniture,Uncategorized,0.0
sectional,BC276087243,sectional,19,Furniture,Uncategorized,0.0
loveseat,BC860674986,loveseat,19,Furniture,Uncategorized,0.0
1TB SSD Laptop,BC594817420,1tb ssd laptop,8,Technology,Uncategorized,0.0
server maintenance,BC838586956,server maintenance,4,Services,Uncategorized,0.0
4k monitor,BC234259822,4k monitor,12,Technology,Uncategorized,0.0
монитор,BC881938614,монитор,12,Technology,Uncategorized,0.0
ソフトウェア enterprise,BC478305093,ソフトウェア enterprise,0,Services,Uncategorized,0.0
Oracle per user,BC897711678,oracle per user,17,Services,Uncategorized,0.0
HP ZBook v2,BC498784578,hp zbook v2,8,Technology,Uncategorized,0.0
Used Office 365 Business annual,BC467126134,used office 365 business annual,6,Services,Uncategorized,0.0
abonnement internet,BC301637382,abonnement internet,17,Services,Uncategorized,0.0
32-inch Screen gaming,BC176100340,32-inch screen gaming,8,Technology,Uncategorized,0.0
Kimball escritorio,BC204281005,kimball escritorio,14,Furniture,Uncategorized,0.0
Salesforce annual,BC806832877,salesforce annual,6,Services,Uncategorized,0.0
desk chair,BC664994379,desk chair,3,Furniture,Uncategorized,0.0
phone support,BC484360237,phone support,13,Services,Uncategorized,0.0
armario,BC690520920,armario,2,Furniture,Uncategorized,0.0
SOFTWARE SUPPORT,BC588920837,software support,13,Services,Uncategorized,0.0
workstation,BC241273318,workstation,20,Technology,Uncategorized,0.0
soffa,BC713763535,soffa,11,Furniture,Uncategorized,0.0
Desk Model D-100,BC447302779,desk model d-100,1,Furniture,Uncategorized,0.0
API subscription,BC974947794,api subscription,6,Services,Uncategorized,0.0
lounge chair,BC702549133,lounge chair,19,Furniture,Uncategorized,0.0
Office 365 E3,BC986594254,office 365 e3,6,Services,Uncategorized,0.0
skrivbord Model X-438,BC119744516,skrivbord model x-438,1,Furniture,Uncategorized,0.0
Herman Miller fabric sedia,BC708491359,herman miller fabric sedia,14,Furniture,Uncategorized,0.0
sofá,BC821283444,sofa,11,Furniture,Uncategorized,0.0
service agreement - Refurbished,BC936560721,service agreement - refurbished,15,Services,Uncategorized,0.0
диван,BC778812730,диван,11,Furniture,Uncategorized,0.0
desk,BC350175561,desk,3,Furniture,Uncategorized,0.0
reception sofa,BC665646221,reception sofa,5,Furniture,Uncategorized,0.0
ERP system annual,BC349978373,erp system annual,4,Services,Uncategorized,0.0
network support,BC817539340,network support,13,Services,Uncategorized,0.0
sofá,BC921879587,sofa,11,Furniture,Uncategorized,0.0
lounge chair,BC509715619,lounge chair,19,Furniture,Uncategorized,0.0
sofa,BC126749178,sofa,11,Furniture,Uncategorized,0.0
taask chair,BC509682018,taask chair,14,Furniture,Uncategorized,0.0
black counch,BC591759000,black counch,19,Furniture,Uncategorized,0.0
Office 365 subscription,BC332866519,office 365 subscription,6,Services,Uncategorized,0.0
Workstation WS-Pro,BC746716453,workstation ws-pro,8,Furniture,Uncategorized,0.0
security support basic,BC670866707,security support basic,13,Services,Uncategorized,0.0
Kimball reception sofa,BC924913247,kimball reception sofa,5,Furniture,Uncategorized,0.0
소프트웨어,BC466990085,소프트웨어,2,Services,Uncategorized,0.0
plastic cadeira,BC937649523,plastic cadeira,14,Furniture,Uncategorized,0.0
servicio de internet,BC814298538,servicio de internet,7,Services,Uncategorized,0.0
Herman Miller Chair Model C-300,BC531168733,herman miller chair model c-300,14,Furniture,Uncategorized,0.0
ITSM service,BC496284441,itsm service,7,Services,Uncategorized,0.0
стол Model Pro-901,BC385417366,стол model pro-901,1,Furniture,Uncategorized,0.0
CDN SERVICE,BC744154611,cdn service,7,Services,Uncategorized,0.0
OneDrive storage annual agreement,BC879394493,onedrive storage annual agreement,15,Services,Uncategorized,0.0
office sofa,BC440096507,office sofa,5,Furniture,Uncategorized,0.0
premium seet,BC264013159,premium seet,19,Furniture,Uncategorized,0.0
divan,BC659568869,divan,11,Furniture,Uncategorized,0.0
seet,BC244816382,seet,19,Furniture,Uncategorized,0.0
phone support,BC779937154,phone support,13,Services,Uncategorized,0.0
mesh cabnet,BC548108259,mesh cabnet,16,Furniture,Uncategorized,0.0
Anti-virus per device,BC988651295,anti-virus per device,17,Services,Uncategorized,0.0
business computer,BC283486349,business computer,9,Technology,Uncategorized,0.0
hardware maintenance,BC317228954,hardware maintenance,13,Services,Uncategorized,0.0
Adobe CC All Apps standard,BC493369637,adobe cc all apps standard,6,Services,Uncategorized,0.0
Ofice 365,BC198682372,ofice 365,6,Services,Uncategorized,0.0
mini PC Gen 3,BC873309842,mini piece gen 3,8,Technology,Uncategorized,0.0
standing desk,BC487541399,standing desk,3,Furniture,Uncategorized,0.0
SaaS subscription volume license,BC733830783,saas subscription volume license,15,Services,Uncategorized,0.0
gray schreibtisch Model X-327,BC634323575,gray schreibtisch model x-327,1,Furniture,Uncategorized,0.0
컴퓨터,BC602935000,컴퓨터,2,Technology,Uncategorized,0.0
16GB RAM Computer,BC164542674,16gb ram computer,9,Technology,Uncategorized,0.0
deluxe height adjustable desk,BC713119661,deluxe height adjustable desk,3,Furniture,Uncategorized,0.0
Teknion armoire,BC427413432,teknion armoire,21,Furniture,Uncategorized,0.0
Reception Sofa RS-100,BC840447097,reception sofa rs-100,5,Furniture,Uncategorized,0.0
ergonomic chair,BC324130818,ergonomic chair,14,Furniture,Uncategorized,0.0
service agreement,BC128008008,service agreement,15,Services,Uncategorized,0.0
metal computer desk,BC779580831,metal computer desk,3,Furniture,Uncategorized,0.0
1080p Monitor quiet,BC786031600,1080p monitor quiet,12,Technology,Uncategorized,0.0
office sofa,BC538719265,office sofa,5,Furniture,Uncategorized,0.0
chaise Model X-195,BC750637748,chaise model x-195,1,Furniture,Uncategorized,0.0
인터넷 서비스 license,BC219483835,인터넷 서비스 license,15,Services,Uncategorized,0.0
support contract basic,BC501387022,support contract basic,13,Services,Uncategorized,0.0
storage cabinet,BC543352165,storage cabinet,16,Furniture,Uncategorized,0.0
workstation Model Pro-997,BC836527450,workstation model pro-997,1,Furniture,Uncategorized,0.0
tavolo Model B-891,BC678700154,tavolo model b-891,1,Furniture,Uncategorized,0.0
Aeron chair,BC546626348,aeron chair,14,Furniture,Uncategorized,0.0
work table,BC424620301,work table,10,Furniture,Uncategorized,0.0
copyer,BC663961987,copyer,20,Technology,Uncategorized,0.0
glass seat Model Pro-310,BC699602642,glass seat model pro-310,1,Furniture,Uncategorized,0.0
HP ProBook,BC324422284,hp probook,8,Technology,Uncategorized,0.0
Allsteel bureau,BC930888412,allsteel bureau,6,Furniture,Uncategorized,0.0
executive chair,BC333203933,executive chair,19,Furniture,Uncategorized,0.0
armchair,BC404957218,armchair,19,Furniture,Uncategorized,0.0
SQL Server,BC293028062,sql server,4,Services,Uncategorized,0.0
Windows 10 Pro limited contract,BC634239338,windows 10 pro limited contract,6,Services,Uncategorized,0.0
Azure subscription,BC435418436,azure subscription,6,Services,Uncategorized,0.0
B&W printer,BC241246317,bw printer,18,Technology,Uncategorized,0.0
Internet-Service volume license,BC173955669,internet-service volume license,15,Services,Uncategorized,0.0
iCloud storage,BC506994931,icloud storage,7,Services,Uncategorized,0.0
bookcase Model Pro-320,BC494152254,bookcase model pro-320,1,Furniture,Uncategorized,0.0
IKEA Lounge Seating LS-200,BC364404457,ikea lounge seating ls-200,5,Furniture,Uncategorized,0.0
SIP trunk monthly,BC333471497,sip trunk monthly,6,Services,Uncategorized,0.0
fabric conference chair,BC158559749,fabric conference chair,14,Furniture,Uncategorized,0.0
mobile plan unlimited,BC106174601,mobile plan unlimited,7,Services,Uncategorized,0.0
small executive chair,BC979447956,small executive chair,14,Furniture,Uncategorized,0.0
Azure subscription,BC350707551,azure subscription,6,Services,Uncategorized,0.0
의자 Model X-817,BC438126323,의자 model x-817,1,Furniture,Uncategorized,0.0
Steelcase desk Model A-702,BC635148365,steelcase desk model a-702,1,Furniture,Uncategorized,0.0
dedicated line per user,BC113545781,dedicated line per user,17,Services,Uncategorized,0.0
security support volume license service,BC246698943,security support volume license service,15,Services,Uncategorized,0.0
remote support premium agreement,BC391317298,remote support premium agreement,15,Services,Uncategorized,0.0
Adobe CC All Apps,BC404007541,adobe cc all apps,6,Services,Uncategorized,0.0
executive chair,BC416447391,executive chair,19,Furniture,Uncategorized,0.0
inkjet printer certified,BC297543237,inkjet printer certified,18,Technology,Uncategorized,0.0
Global deluxe шкаф,BC850282713,global deluxe шкаф,16,Furniture,Uncategorized,0.0
ordenador,BC806019487,ordenador,9,Technology,Uncategorized,0.0
Lounge Seating LS-200 Model C-221,BC454601784,lounge seating ls-200 model c-221,1,Furniture,Uncategorized,0.0
Internet-Service,BC521359675,internet-service,7,Services,Uncategorized,0.0
iCloud storage,BC986108130,icloud storage,7,Services,Uncategorized,0.0
compter quiet,BC386156035,compter quiet,21,Technology,Uncategorized,0.0
skrivbord,BC566531276,skrivbord,10,Furniture,Uncategorized,0.0
cabnit,BC711028819,cabnit,16,Furniture,Uncategorized,0.0
scren,BC281736451,scren,20,Technology,Uncategorized,0.0
ITSM service unlimited,BC444390192,itsm service unlimited,7,Services,Uncategorized,0.0
office desk,BC662906773,office desk,3,Furniture,Uncategorized,0.0
طابعة backlit,BC197110078,طابعة backlit,18,Technology,Uncategorized,0.0
QHD Display 2022,BC348053691,qhd display 2022,8,Technology,Uncategorized,0.0
ergonomic chair,BC793627337,ergonomic chair,14,Furniture,Uncategorized,0.0
service agreement site license service,BC780631093,service agreement site license service,15,Services,Uncategorized,0.0
IT support license,BC135981405,it support license,13,Services,Uncategorized,0.0
DSL,BC867384519,dsl,7,Services,Uncategorized,0.0
MS Office,BC889556480,ms office,4,Services,Uncategorized,0.0
Teknion Chair Model C-300,BC185336088,teknion chair model c-300,1,Furniture,Uncategorized,0.0
szafa,BC594318319,szafa,16,Furniture,Uncategorized,0.0
photo printer,BC506603082,photo printer,18,Technology,Uncategorized,0.0
モニター,BC789075603,モニター,0,Technology,Uncategorized,0.0
security software,BC661782298,security software,17,Services,Uncategorized,0.0
HP EliteDesk Max,BC623836867,hp elitedesk max,8,Technology,Uncategorized,0.0
كرسي,BC979947812,كرسي,19,Furniture,Uncategorized,0.0
desktop computer gaming,BC950899166,desktop computer gaming,9,Technology,Uncategorized,0.0
schrank,BC260610323,schrank,16,Furniture,Uncategorized,0.0
filing cabinet Model C-547,BC774992147,filing cabinet model c-547,1,Furniture,Uncategorized,0.0
ultra wide,BC913656416,ultra wide,12,Technology,Uncategorized,0.0
خزانة,BC270307732,خزانة,16,Furniture,Uncategorized,0.0
bench,BC847889838,bench,3,Furniture,Uncategorized,0.0
IaaS platform standard,BC516065124,iaas platform standard,7,Services,Uncategorized,0.0
small HON table,BC107053228,small hon table,10,Furniture,Uncategorized,0.0
lounge chair,BC557913296,lounge chair,19,Furniture,Uncategorized,0.0
divan Model Pro-600,BC194269176,divan model pro-600,1,Furniture,Uncategorized,0.0
cupboard,BC336859315,cupboard,20,Furniture,Uncategorized,0.0
HON workstation,BC142146105,hon workstation,10,Furniture,Uncategorized,0.0
iCloud storage volume license,BC877817678,icloud storage volume license,15,Services,Uncategorized,0.0
business hours support bundle,BC515026155,business hours support bundle,13,Services,Uncategorized,0.0
Knoll basic char,BC160170716,knoll basic char,16,Furniture,Uncategorized,0.0
display,BC285652633,display,20,Technology,Uncategorized,0.0
divan,BC312717408,divan,11,Furniture,Uncategorized,0.0
イス,BC865007974,イス,0,Furniture,Uncategorized,0.0
leather стол,BC765434962,leather стол,14,Furniture,Uncategorized,0.0
Global char Model A-429,BC928416590,global char model a-429,1,Furniture,Uncategorized,0.0
professional lounge chair,BC683708118,professional lounge chair,14,Furniture,Uncategorized,0.0
Steelcase storage unit,BC918671750,steelcase storage unit,16,Furniture,Uncategorized,0.0
fiber internet,BC176927143,fiber internet,7,Services,Uncategorized,0.0
bench,BC688574163,bench,3,Furniture,Uncategorized,0.0
phone support annual contract,BC382769127,phone support annual contract,15,Services,Uncategorized,0.0
software support,BC582537877,software support,13,Services,Uncategorized,0.0
soffa Model X-132,BC424100009,soffa model x-132,1,Furniture,Uncategorized,0.0
computer,BC637577213,computer,9,Technology,Uncategorized,0.0
Color laser Max,BC949830412,color laser max,18,Technology,Uncategorized,0.0
MSP SERVICE,BC123762858,msp service,7,Services,Uncategorized,0.0
Windows 10 Pro,BC160046549,windows 10 pro,8,Services,Uncategorized,0.0
deks,BC725084928,deks,3,Furniture,Uncategorized,0.0
widescreen,BC700539700,widescreen,12,Technology,Uncategorized,0.0
NOC service site license,BC131638762,noc service site license,15,Services,Uncategorized,0.0
Adoby Creative,BC112277573,adoby creative,6,Services,Uncategorized,0.0
basic shelf,BC396222040,basic shelf,16,Furniture,Uncategorized,0.0
bureau,BC989516564,bureau,19,Furniture,Uncategorized,0.0
external monitor,BC839170893,external monitor,12,Technology,Uncategorized,0.0
security software site license,BC211779101,security software site license,15,Services,Uncategorized,0.0
SQL Server limited,BC882206689,sql server limited,4,Services,Uncategorized,0.0
all-in-one,BC266457342,all-in-one,8,Technology,Uncategorized,0.0
برمجيات,BC208689641,برمجيات,0,Services,Uncategorized,0.0
office chair,BC947384695,office chair,19,Furniture,Uncategorized,0.0
notebook new,BC626072176,notebook new,8,Technology,Uncategorized,0.0
cloud storage,BC571967377,cloud storage,17,Services,Uncategorized,0.0
モニター,BC661852456,モニター,0,Technology,Uncategorized,0.0
Used IKEA brown sofa,BC120100290,used ikea brown sofa,5,Furniture,Uncategorized,0.0
Aeron chair,BC698439590,aeron chair,14,Furniture,Uncategorized,0.0
ANTI-VIRUS BASIC SUBSCRIPTION,BC712062546,anti-virus basic subscription,17,Services,Uncategorized,0.0
USB printer,BC116121432,usb printer,18,Technology,Uncategorized,0.0
small file cabinet,BC337079167,small file cabinet,16,Furniture,Uncategorized,0.0
SOC service per device,BC574819483,soc service per device,17,Services,Uncategorized,0.0
Dropbox Business,BC374294163,dropbox business,4,Services,Uncategorized,0.0
stol,BC982292061,stol,19,Furniture,Uncategorized,0.0
i-Mac enterprise v3,BC294020880,i-mac enterprise v3,8,Technology,Uncategorized,0.0
