name,barcode
Monitor stand,F173
Desk riser,F174
Laptop stand,F175
Document camera stand,F176
Presentation podium,F177
Lectern,F178
Reception counter,F179
Service counter,F180
Cash wrap,F181
Point of sale station,F182
Customer service desk,F183
Information desk,F184
Help desk,F185
Circulation desk,F186
Reference desk,F187
Checkout counter,F188
Registration desk,F189
Admission desk,F190
Security desk,F191
Guard station,F192
Booth,F193
Kiosk,F194
Partition wall,F195
Room divider,F196
Privacy screen,F197
Acoustic panel,F198
Sound barrier,F199
Cubicle wall,F200
Modular wall,F201
Temporary wall,F202
Movable wall,F203
Glass partition,F204
Office divider,F205
Workstation panel,F206
Desk divider,F207
Screen divider,F208
Fabric panel,F209
Cork panel,F210
Magnetic panel,F211
Tackable panel,F212
Dry erase panel,F213
Calendar board,F214
Planning board,F215
Schedule board,F216
Status board,F217
Menu board,F218
Welcome sign,F219
Nameplate,F220
Desk nameplate,F221
Door nameplate,F222
Wall nameplate,F223
Directory sign,F224
Wayfinding sign,F225
Safety sign,F226
Warning sign,F227
Emergency sign,F228
Exit sign,F229
Restroom sign,F230
Handicap sign,F231
No smoking sign,F232
Fire exit sign,F233
First aid sign,F234
Security sign,F235
Surveillance sign,F236
Camera sign,F237
Alarm sign,F238
Badge holder,F239
ID card holder,F240
Lanyard,F241
Retractable badge,F242
Badge reel,F243
Key holder,F244
Key box,F245
Lock box,F246
Safe small,F247
Safe large,F248
Cash box,F249
Deposit box,F250
Mail box,F251
Suggestion box,F252
Ballot box,F253
Collection box,F254
Donation box,F255
Tip jar,F256
Coin box,F257
Change dish,F258
Tray small,F259
Tray large,F260
Serving tray,F261
Food tray,F262
Cafeteria tray,F263
Lunch tray,F264
Snack tray,F265
Beverage tray,F266
Coffee tray,F267
Tea tray,F268
Water tray,F269
Ice bucket,F270
Cooler small,F271
Cooler large,F272
Mini fridge,F273
Microwave stand,F274
Coffee station,F275
Water station,F276
Beverage station,F277
Snack station,F278
Vending machine stand,F279
Bulletin board mobile,F280
Easel display,F281
Poster stand,F282
Banner stand,F283
Sign holder,F284
Brochure stand,F285
Literature rack,F286
Catalog rack,F287
Newspaper rack,F288
Business card holder,F289
Flyer dispenser,F290
Ticket dispenser,F291
Number dispenser,F292
Queue management,F293
Stanchion,F294
Rope barrier,F295
Belt barrier,F296
Chain barrier,F297
Traffic cone,F298
Safety barrier,F299
Construction barrier,F300
Caution tape,F301
Floor mat,F302
Welcome mat,F303
Logo mat,F304
Anti fatigue mat,F305
Chair mat clear,F306
Desk mat,F307
Mouse pad,F308
Keyboard pad,F309
Wrist rest,F310
Arm rest,F311
Foot rest,F312
Back support,F313
Lumbar support,F314
Seat cushion,F315
Chair cushion ergonomic,F316
Stadium cushion,F317
Gel cushion,F318
Memory foam cushion,F319
Heating pad,F320
Cooling pad,F321
Massage cushion,F322
Neck pillow,F323
Travel pillow,F324
Throw pillow,F325
Decorative pillow,F326
Floor pillow,F327
Meditation cushion,F328
Exercise ball,F329
Balance ball,F330
Stability ball,F331
Medicine ball,F332
Resistance band,F333
Yoga mat,F334
Exercise mat,F335
Stretching mat,F336
Floor protector,F337
Furniture pad,F338
Furniture glide,F339
Furniture dolly,F340
Moving dolly,F341
Hand truck,F342
Platform truck,F343
Pallet jack,F344
Fork lift,F345
Scissor lift,F346
Step ladder,F347
Extension ladder,F348
Utility ladder,F349
Folding ladder,F350
Rolling ladder,F351
Library ladder,F352
Stock ladder,F353
Warehouse ladder,F354
Safety ladder,F355
Inspection ladder,F356
Maintenance ladder,F357
Cleaning cart,F358
Janitor cart,F359
Housekeeping cart,F360
Laundry cart,F361
Linen cart,F362
Towel cart,F363
Supply cart mobile,F364
Tool cart,F365
Garden cart,F366
Utility cart,F367
Multi purpose cart,F368
Heavy duty cart,F369
Industrial cart,F370
Commercial cart,F371
Restaurant cart,F372
Hospital cart,F373
Medical cart,F374
Laboratory cart,F375
Chemical cart,F376
Hazmat cart,F377
Spill cart,F378
Emergency cart,F379
Fire cart,F380
First aid cart,F381
Trauma cart,F382
Crash cart,F383
Code cart,F384
Medication cart,F385
Pharmacy cart,F386
Dispensing cart,F387
Treatment cart,F388
Procedure cart,F389
Surgical cart,F390
Operating cart,F391
Instrument cart,F392
Sterile cart,F393
Clean cart,F394
Dirty cart,F395
Isolation cart,F396
Transport cart,F397
Transfer cart,F398
Gurney,F399
Stretcher,F400
Wheelchair,F401
Walker,F402
Rollator,F403
Mobility scooter,F404
Electric wheelchair,F405
Manual wheelchair,F406
Transport wheelchair,F407
Bariatric wheelchair,F408
Pediatric wheelchair,F409
Sports wheelchair,F410
Beach wheelchair,F411
All terrain wheelchair,F412
Standing wheelchair,F413
Reclining wheelchair,F414
Tilt wheelchair,F415
Power wheelchair,F416
Lightweight wheelchair,F417
Folding wheelchair,F418
Rigid wheelchair,F419
Racing wheelchair,F420
Everyday wheelchair,F421
Travel wheelchair,F422
Portable wheelchair,F423
Compact wheelchair,F424
Heavy duty wheelchair,F425
Standard wheelchair,F426
Basic wheelchair,F427
Economy wheelchair,F428
Premium wheelchair,F429
Deluxe wheelchair,F430
Luxury wheelchair,F431
Professional wheelchair,F432
Medical wheelchair,F433
Hospital wheelchair,F434
Clinic wheelchair,F435
Home wheelchair,F436
Office wheelchair,F437
School wheelchair,F438
University wheelchair,F439
Library wheelchair,F440
Museum wheelchair,F441
Theater wheelchair,F442
Stadium wheelchair,F443
Arena wheelchair,F444
Concert wheelchair,F445
Event wheelchair,F446
Conference wheelchair,F447
Convention wheelchair,F448
Trade show wheelchair,F449
Exhibition wheelchair,F450
Fair wheelchair,F451
Festival wheelchair,F452
Parade wheelchair,F453
Marathon wheelchair,F454
Athletic wheelchair,F455
Training wheelchair,F456
Therapy wheelchair,F457
Rehabilitation wheelchair,F458
Recovery wheelchair,F459
Healing wheelchair,F460
Comfort wheelchair,F461
Support wheelchair,F462
Assistance wheelchair,F463
Aid wheelchair,F464
Help wheelchair,F465
Care wheelchair,F466
Service wheelchair,F467
Guest wheelchair,F468
Visitor wheelchair,F469
Loaner wheelchair,F470
Rental wheelchair,F471
Trial wheelchair,F472
Demo wheelchair,F473
Test wheelchair,F474
Sample wheelchair,F475
Prototype wheelchair,F476
Model wheelchair,F477
Display wheelchair,F478
Showroom wheelchair,F479
Floor wheelchair,F480
Stock wheelchair,F481
Inventory wheelchair,F482
Warehouse wheelchair,F483
Storage wheelchair,F484
Backup wheelchair,F485
Spare wheelchair,F486
Extra wheelchair,F487
Additional wheelchair,F488
Secondary wheelchair,F489
Primary wheelchair,F490
Main wheelchair,F491
Principal wheelchair,F492
Chief wheelchair,F493
Master wheelchair,F494
Ultimate wheelchair,F495
Supreme wheelchair,F496
Elite wheelchair,F497
Premium plus wheelchair,F498
Signature wheelchair,F499
Executive wheelchair,F500
Dell OptiPlex 7090,T001
HP EliteDesk 800,T002
Lenovo ThinkCentre,T003
Desktop computer,T004
PC workstation,T005
Gaming computer,T006
All-in-one PC,T007
Mini PC,T008
Bilgisayar masaüstü,T009
Ordenador sobremesa,T010
Ordinateur bureau,T011
Computer desktop,T012
Personal computer,T013
Business computer,T014
Office computer,T015
Home computer,T016
Work computer,T017
Student computer,T018
MacBook Pro 16,T019
Dell XPS 13,T020
HP Pavilion,T021
Lenovo ThinkPad,T022
Surface Laptop,T023
Gaming laptop,T024
Business laptop,T025
Ultrabook,T026
Notebook computer,T027
Laptop portable,T028
Dizüstü bilgisayar,T029
Portátil,T030
Ordinateur portable,T031
Computer portatile,T032
Laptop komputer,T033
iPad Pro 12.9,T034
Surface Pro 8,T035
Samsung Galaxy Tab,T036
Amazon Fire tablet,T037
Android tablet,T038
Tablet computer,T039
Slate tablet,T040
Drawing tablet,T041
Graphics tablet,T042
E-reader tablet,T043
Tablet PC,T044
2-in-1 tablet,T045
Convertible tablet,T046
Detachable tablet,T047
Rugged tablet,T048
Industrial tablet,T049
Medical tablet,T050
iPhone 14 Pro,T051
Samsung Galaxy S23,T052
Google Pixel 7,T053
OnePlus 11,T054
Business phone,T055
Smartphone,T056
Mobile phone,T057
Cell phone,T058
Akıllı telefon,T059
Teléfono móvil,T060
Téléphone portable,T061
Telefono cellulare,T062
Telefon komórkowy,T063
Dell UltraSharp 27,T064
LG 4K monitor,T065
Samsung curved monitor,T066
ASUS gaming monitor,T067
HP business monitor,T068
Dual monitor setup,T069
Triple monitor,T070
Ultrawide monitor,T071
4K display,T072
Monitor LED,T073
LCD monitor,T074
OLED display,T075
Touch screen monitor,T076
Portable monitor,T077
USB monitor,T078
Wireless monitor,T079
Monitör,T080
Monitor pantalla,T081
Écran moniteur,T082
Monitor schermo,T083
Monitor ekran,T084
HP LaserJet Pro,T085
Canon PIXMA,T086
Epson EcoTank,T087
Brother MFC,T088
Multifunction printer,T089
Laser printer,T090
Inkjet printer,T091
Photo printer,T092
Label printer,T093
Receipt printer,T094
3D printer,T095
Large format printer,T096
Network printer,T097
Wireless printer,T098
USB printer,T099
Bluetooth printer,T100
Yazıcı,T101
Impresora,T102
Imprimante,T103
Stampante,T104
Drukarka,T105
Cisco router,T106
Netgear switch,T107
TP-Link access point,T108
Ubiquiti UniFi,T109
Network switch,T110
Wireless router,T111
Modem router,T112
WiFi extender,T113
Network hub,T114
Ethernet switch,T115
Managed switch,T116
Unmanaged switch,T117
PoE switch,T118
Fiber switch,T119
Gigabit switch,T120
Network equipment,T121
Ağ cihazı,T122
Equipo de red,T123
Équipement réseau,T124
Apparecchiatura rete,T125
Urządzenie sieciowe,T126
CCTV camera,T127
Security camera,T128
IP camera,T129
Wireless camera,T130
Dome camera,T131
Bullet camera,T132
PTZ camera,T133
Night vision camera,T134
Outdoor camera,T135
Indoor camera,T136
Surveillance camera,T137
Baby monitor,T138
Webcam,T139
Conference camera,T140
USB camera,T141
Logitech webcam,T142
HD camera,T143
4K camera,T144
360 camera,T145
Action camera,T146
Güvenlik kamerası,T147
Cámara seguridad,T148
Caméra sécurité,T149
Telecamera sicurezza,T150
Microsoft Office 365,S001
Adobe Creative Suite,S002
Antivirus software,S003
Windows license,S004
macOS license,S005
Software license,S006
Productivity suite,S007
Accounting software,S008
QuickBooks Pro,S009
SAP Business One,S010
CRM software,S011
Salesforce license,S012
HubSpot license,S013
Project management,S014
Monday.com,S015
Asana premium,S016
Trello business,S017
Slack premium,S018
Microsoft Teams,S019
Zoom Pro,S020
GoToMeeting,S021
WebEx license,S022
Video conferencing,S023
Communication software,S024
Collaboration tools,S025
Cloud storage,S026
Google Drive,S027
Dropbox Business,S028
OneDrive Business,S029
iCloud storage,S030
Backup software,S031
Security software,S032
VPN license,S033
Remote access,S034
TeamViewer license,S035
Remote desktop,S036
Virtual machine,S037
VMware license,S038
Database software,S039
SQL Server license,S040
Oracle license,S041
MySQL license,S042
PostgreSQL,S043
Web hosting,S044
Domain registration,S045
SSL certificate,S046
Website builder,S047
WordPress hosting,S048
E-commerce platform,S049
Shopify plan,S050
WooCommerce,S051
Magento license,S052
Payment processing,S053
PayPal Business,S054
Stripe account,S055
Square POS,S056
Credit card processing,S057
Banking software,S058
Financial software,S059
Tax software,S060
HR software,S061
Payroll software,S062
Time tracking,S063
Employee scheduling,S064
Benefits management,S065
Recruiting software,S066
Training platform,S067
LMS license,S068
E-learning platform,S069
Online courses,S070
Certification program,S071
Professional development,S072
Skill assessment,S073
Performance management,S074
Employee monitoring,S075
Productivity tracking,S076
Analytics software,S077
Business intelligence,S078
Data visualization,S079
Reporting tools,S080
Dashboard software,S081
KPI tracking,S082
Metrics platform,S083
Survey software,S084
Feedback platform,S085
Customer support,S086
Help desk software,S087
Ticketing system,S088
Live chat software,S089
Knowledge base,S090
Documentation platform,S091
Wiki software,S092
Content management,S093
CMS license,S094
Blog platform,S095
Social media management,S096
Marketing automation,S097
Email marketing,S098
Newsletter software,S099
Campaign management,S100
Lead generation,S101
SEO tools,S102
Analytics tools,S103
Keyword research,S104
Rank tracking,S105
Backlink analysis,S106
Competitor analysis,S107
Market research,S108
Industry reports,S109
Data analysis,S110
Statistical software,S111
Research tools,S112
Survey platform,S113
Internet connection,S114
Fiber internet,S115
Broadband service,S116
DSL internet,S117
Cable internet,S118
Satellite internet,S119
5G internet,S120
Business internet,S121
High speed internet,S122
Dedicated line,S123
T1 line,S124
T3 line,S125
Leased line,S126
MPLS connection,S127
VPN connection,S128
Site-to-site VPN,S129
Point-to-point,S130
Network connectivity,S131
ISP service,S132
Internet provider,S133
Bandwidth upgrade,S134
Speed upgrade,S135
Data plan,S136
Unlimited data,S137
Mobile data,S138
Cellular service,S139
4G service,S140
5G service,S141
Wireless service,S142
Phone service,S143
VoIP service,S144
SIP trunking,S145
PBX service,S146
Cloud phone,S147
Virtual phone,S148
Conference calling,S149
International calling,S150
Long distance,S151
Toll free number,S152
Local number,S153
Vanity number,S154
Auto attendant,S155
Call forwarding,S156
Voicemail service,S157
Call recording,S158
Call analytics,S159
Phone system,S160
Unified communications,S161
Business phone,S162
Office phone,S163
Desk phone,S164
IP phone,S165
SIP phone,S166
Digital phone,S167
Analog phone,S168
Cordless phone,S169
Conference phone,S170
Video phone,S171
Soft phone,S172
Mobile phone plan,S173
Cell phone plan,S174
Smartphone plan,S175
Data plan mobile,S176
Voice plan,S177
Text plan,S178
International plan,S179
Roaming plan,S180
Family plan,S181
Business mobile,S182
Fleet mobile,S183
Corporate mobile,S184
Enterprise mobile,S185
Prepaid mobile,S186
Postpaid mobile,S187
Contract mobile,S188
No contract mobile,S189
Month to month,S190
Annual contract,S191
Multi year contract,S192
Device insurance,S193
Extended warranty,S194
Technical support,S195
Premium support,S196
24/7 support,S197
Help desk service,S198
Managed services,S199
IT support,S200
Network support,S201
Server support,S202
Desktop support,S203
Mobile support,S204
Remote support,S205
On-site support,S206
Emergency support,S207
Break fix support,S208
Maintenance contract,S209
Service agreement,S210
Support contract,S211
Warranty extension,S212
Service plan,S213
Protection plan,S214
Care plan,S215
Comfort plan,S216
Peace of mind,S217
Total care,S218
Complete coverage,S219
Full protection,S220
Comprehensive support,S221
Enterprise support,S222
Business support,S223
Professional services,S224
Consulting services,S225
Implementation services,S226
Migration services,S227
Integration services,S228
Custom development,S229
Software development,S230
App development,S231
Web development,S232
Database development,S233
System integration,S234
API development,S235
Cloud migration,S236
Digital transformation,S237
Modernization services,S238
Legacy system upgrade,S239
Technology refresh,S240
Infrastructure upgrade,S241
Network upgrade,S242
Security upgrade,S243
Compliance services,S244
Audit services,S245
Risk assessment,S246
Vulnerability scan,S247
Penetration testing,S248
Security consultation,S249
Privacy assessment,S250
